Variable,Comp.1,Comp.2
employee,0.254,0.511
employer,0.010,-0.040
employing,-0.050,0.103
employment,-0.042,0.097
preemployment,-0.016,-0.015
happiness,-0.031,-0.029
dissatisfaction,0.233,0.304
satisfaction,0.469,0.280
corporate,0.208,0.254
corporation,0.163,0.347
incorporate,-0.029,-0.026
communitygoverned,-0.016,-0.015
goodgovernance,0.476,-0.220
governance,0.516,-0.434
hypergoverned,-0.016,-0.015
publicprivategovernment,0.302,-0.349
selfgovernance,-0.016,-0.015
